gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
2231,-74.21646,40.52111,3,2,60.08
2232,-74.21646,40.522007,3,11,60.08
2233,-74.21646,40.522907,3,1,60.08
2234,-74.21646,40.523808,3,2,60.08
2236,-74.21646,40.525604,3,1,60.08
2239,-74.21646,40.528305,3,3,60.08
2246,-74.21646,40.5346,3,1,60.08
2248,-74.21646,40.536396,3,2,60.08
2249,-74.21646,40.537296,3,2,60.08
2251,-74.21646,40.539097,3,1,60.08
2253,-74.21646,40.540894,3,3,60.08
2254,-74.21646,40.541794,3,1,60.08
2255,-74.21646,40.542694,3,1,60.08
2256,-74.21646,40.54359,3,2,60.08
2257,-74.21646,40.54449,3,1,60.08
2258,-74.21646,40.54539,3,1,60.08
2259,-74.21646,40.54629,3,3,60.08
2261,-74.21646,40.548088,3,2,60.08
2262,-74.21646,40.54899,3,2,60.08
2315,-74.21528,40.523808,3,1,60.08
2317,-74.21528,40.525604,3,4,60.08
2328,-74.21528,40.5355,3,1,60.08
2331,-74.21528,40.538197,3,2,60.08
2333,-74.21528,40.539993,3,1,60.08
2339,-74.21528,40.54539,3,4,60.08
2342,-74.21528,40.548088,3,2,60.08
2343,-74.21528,40.54899,3,2,60.08
2344,-74.21528,40.54989,3,2,60.08
2346,-74.21528,40.551685,3,2,60.08
2347,-74.21528,40.552586,3,2,60.08
2350,-74.21528,40.555283,3,1,60.08
2396,-74.214096,40.522007,3,3,60.08
2397,-74.214096,40.522907,3,3,60.08
2403,-74.214096,40.528305,3,1,60.08
2417,-74.214096,40.540894,3,1,60.08
2418,-74.214096,40.541794,3,1,60.08
2419,-74.214096,40.542694,3,1,60.08
2423,-74.214096,40.54629,3,1,60.08
2424,-74.214096,40.547188,3,2,60.08
2425,-74.214096,40.548088,3,2,60.08
2426,-74.214096,40.54899,3,3,60.08
2427,-74.214096,40.54989,3,7,60.08
2429,-74.214096,40.551685,3,1,60.08
2430,-74.214096,40.552586,3,1,60.08
2431,-74.214096,40.553486,3,6,60.08
2433,-74.214096,40.555283,3,9,60.08
2482,-74.21291,40.52111,3,1,60.08
2500,-74.21291,40.537296,3,1,60.08
2512,-74.21291,40.548088,3,1,60.08
2515,-74.21291,40.550785,3,1,60.08
2517,-74.21291,40.552586,3,2,60.08
2519,-74.21291,40.554382,3,1,60.08
2520,-74.21291,40.555283,3,3,60.08
2564,-74.21173,40.513916,3,1,60.08
2566,-74.21173,40.515713,3,3,60.08
2567,-74.21173,40.516613,3,1,60.08
2570,-74.21173,40.51931,3,1,60.08
2572,-74.21173,40.52111,3,3,60.08
2576,-74.21173,40.524708,3,1,60.08
2579,-74.21173,40.527405,3,1,60.08
2588,-74.21173,40.5355,3,1,60.08
2594,-74.21173,40.540894,3,1,60.08
2599,-74.21173,40.54539,3,9,60.08
2602,-74.21173,40.548088,3,2,60.08
2604,-74.21173,40.54989,3,5,60.08
2606,-74.21173,40.551685,3,3,60.08
2608,-74.21173,40.553486,3,1,60.08
2609,-74.21173,40.554382,3,1,60.08
2611,-74.21173,40.556183,3,1,60.08
