gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
627,-74.241295,40.511215,2,3,60.08
629,-74.241295,40.513016,2,4,60.08
631,-74.241295,40.514812,2,1,60.08
658,-74.241295,40.539097,2,1,60.08
683,-74.24011,40.499527,2,1,60.08
688,-74.24011,40.50402,2,3,60.08
689,-74.24011,40.50492,2,1,60.08
692,-74.24011,40.507618,2,1,60.08
696,-74.24011,40.511215,2,1,60.08
697,-74.24011,40.512115,2,1,60.08
704,-74.24011,40.51841,2,3,60.08
721,-74.24011,40.5337,2,1,60.08
723,-74.24011,40.5355,2,1,60.08
724,-74.24011,40.536396,2,1,60.08
727,-74.24011,40.539097,2,4,60.08
753,-74.23893,40.499527,2,2,60.08
755,-74.23893,40.501324,2,5,60.08
757,-74.23893,40.503124,2,1,60.08
758,-74.23893,40.50402,2,1,60.08
760,-74.23893,40.50582,2,1,60.08
763,-74.23893,40.50852,2,2,60.08
766,-74.23893,40.511215,2,3,60.08
771,-74.23893,40.515713,2,1,60.08
772,-74.23893,40.516613,2,1,60.08
779,-74.23893,40.522907,2,3,60.08
782,-74.23893,40.525604,2,1,60.08
826,-74.23775,40.501324,2,1,60.08
829,-74.23775,40.50402,2,2,60.08
840,-74.23775,40.513916,2,1,60.08
841,-74.23775,40.514812,2,1,60.08
842,-74.23775,40.515713,2,2,60.08
843,-74.23775,40.516613,2,3,60.08
844,-74.23775,40.517513,2,2,60.08
848,-74.23775,40.52111,2,4,60.08
865,-74.23775,40.536396,2,4,60.08
867,-74.23775,40.538197,2,1,60.08
868,-74.23775,40.539097,2,1,60.08
869,-74.23775,40.539993,2,1,60.08
870,-74.23775,40.540894,2,1,60.08
906,-74.236565,40.507618,2,1,60.08
908,-74.236565,40.50942,2,4,60.08
910,-74.236565,40.511215,2,1,60.08
911,-74.236565,40.512115,2,3,60.08
914,-74.236565,40.514812,2,1,60.08
915,-74.236565,40.515713,2,1,60.08
935,-74.236565,40.5337,2,1,60.08
936,-74.236565,40.5346,2,7,60.08
937,-74.236565,40.5355,2,1,60.08
980,-74.23538,40.507618,2,1,60.08
987,-74.23538,40.513916,2,1,60.08
989,-74.23538,40.515713,2,1,60.08
993,-74.23538,40.51931,2,1,60.08
996,-74.23538,40.522007,2,5,60.08
998,-74.23538,40.523808,2,1,60.08
1053,-74.2342,40.50672,2,1,60.08
1058,-74.2342,40.511215,2,1,60.08
1060,-74.2342,40.513016,2,1,60.08
1063,-74.2342,40.515713,2,2,60.08
1065,-74.2342,40.517513,2,6,60.08
1071,-74.2342,40.522907,2,2,60.08
1083,-74.2342,40.5337,2,4,60.08
1088,-74.2342,40.538197,2,4,60.08
1129,-74.23302,40.507618,2,1,60.08
1131,-74.23302,40.50942,2,1,60.08
1133,-74.23302,40.511215,2,2,60.08
1134,-74.23302,40.512115,2,1,60.08
1139,-74.23302,40.516613,2,4,60.08
1170,-74.23302,40.54449,2,4,60.08
1201,-74.231834,40.50402,2,2,60.08
1204,-74.231834,40.50672,2,3,60.08
1216,-74.231834,40.517513,2,1,60.08
1248,-74.231834,40.54629,2,1,60.08
1286,-74.23065,40.51032,2,1,60.08
